"","Team1","Team2","Goal_Team_1","Goal_Team_2","Hasil"
"392","Porto","Atlético Madrid",0,0,"Imbang"
"393","Chelsea","Juventus",1,0,"Team 1 Menang"
"394","Juventus","Chelsea",2,2,"Imbang"
"395","Manchester Utd","Chelsea",1,1,"Imbang"
"396","Barcelona","Manchester Utd",0,0,"Imbang"
"397","Manchester Utd","Barcelona",1,0,"Team 1 Menang"
"398","Liverpool","Chelsea",1,1,"Imbang"
"399","Chelsea","Liverpool",3,2,"Team 1 Menang"
"400","Arsenal","Liverpool",1,1,"Imbang"
"401","Liverpool","Arsenal",4,2,"Team 1 Menang"
"402","Roma","Manchester Utd",0,2,"Team 2 Menang"
"403","Manchester Utd","Roma",1,0,"Team 1 Menang"
"404","Schalke 04","Barcelona",0,1,"Team 2 Menang"
"405","Barcelona","Schalke 04",1,0,"Team 1 Menang"
"406","Fenerbahçe","Chelsea",2,1,"Team 1 Menang"
"407","Chelsea","Fenerbahçe",2,0,"Team 1 Menang"
"408","Arsenal","Milan",0,0,"Imbang"
"409","Milan","Arsenal",0,2,"Team 2 Menang"
"410","Lyon","Manchester Utd",1,1,"Imbang"
"411","Manchester Utd","Lyon",1,0,"Team 1 Menang"
"412","Celtic","Barcelona",2,3,"Team 2 Menang"
"413","Barcelona","Celtic",1,0,"Team 1 Menang"
"414","Olympiacos","Chelsea",0,0,"Imbang"
"415","Chelsea","Olympiacos",3,0,"Team 1 Menang"
"416","Roma","Real Madrid",2,1,"Team 1 Menang"
"417","Real Madrid","Roma",1,2,"Team 2 Menang"
"418","Schalke 04","Porto",1,0,"Team 1 Menang"
"419","Porto","Schalke 04",1,0,"Team 1 Menang"
"420","Liverpool","Inter",2,0,"Team 1 Menang"
"421","Inter","Liverpool",0,1,"Team 2 Menang"
"422","Fenerbahçe","Sevilla",3,2,"Team 1 Menang"
"423","Sevilla","Fenerbahçe",3,2,"Team 1 Menang"
"424","Milan","Liverpool",2,1,"Team 1 Menang"
"425","Manchester Utd","Milan",3,2,"Team 1 Menang"
"426","Milan","Manchester Utd",3,0,"Team 1 Menang"
"427","Chelsea","Liverpool",1,0,"Team 1 Menang"
"428","Liverpool","Chelsea",1,0,"Team 1 Menang"
"429","Milan","Bayern Munich",2,2,"Imbang"
"430","Bayern Munich","Milan",0,2,"Team 2 Menang"
"431","Roma","Manchester Utd",2,1,"Team 1 Menang"
"432","Manchester Utd","Roma",7,1,"Team 1 Menang"
"433","PSV Eindhoven","Liverpool",0,3,"Team 2 Menang"
"434","Liverpool","PSV Eindhoven",1,0,"Team 1 Menang"
"435","Chelsea","Valencia",1,1,"Imbang"
"436","Valencia","Chelsea",1,2,"Team 2 Menang"
"437","Real Madrid","Bayern Munich",3,2,"Team 1 Menang"
"438","Bayern Munich","Real Madrid",2,1,"Team 1 Menang"
"439","PSV Eindhoven","Arsenal",1,0,"Team 1 Menang"
"440","Arsenal","PSV Eindhoven",1,1,"Imbang"
"441","Lille","Manchester Utd",0,1,"Team 2 Menang"
"442","Manchester Utd","Lille",1,0,"Team 1 Menang"
"443","Barcelona","Liverpool",1,2,"Team 2 Menang"
"444","Liverpool","Barcelona",0,1,"Team 2 Menang"
"445","Porto","Chelsea",1,1,"Imbang"
"446","Chelsea","Porto",2,1,"Team 1 Menang"
"447","Celtic","Milan",0,0,"Imbang"
"448","Milan","Celtic",1,0,"Team 1 Menang"
"449","Roma","Lyon",0,0,"Imbang"
"450","Lyon","Roma",0,2,"Team 2 Menang"
"451","Inter","Valencia",2,2,"Imbang"
"452","Valencia","Inter",0,0,"Imbang"
"453","Barcelona","Arsenal",2,1,"Team 1 Menang"
"454","Arsenal","Villarreal",1,0,"Team 1 Menang"
"455","Villarreal","Arsenal",0,0,"Imbang"
"456","Milan","Barcelona",0,1,"Team 2 Menang"
"457","Barcelona","Milan",0,0,"Imbang"
"458","Arsenal","Juventus",2,0,"Team 1 Menang"
"459","Juventus","Arsenal",0,0,"Imbang"
"460","Benfica","Barcelona",0,0,"Imbang"
"461","Barcelona","Benfica",2,0,"Team 1 Menang"
"462","Inter","Villarreal",2,1,"Team 1 Menang"
